month,share,treatment_ha_passes,monitoring_ha_surveys,opening_cash_rub,revenue_collected_ex_vat_rub,variable_cost_paid_rub,fixed_opex_paid_rub,usn_cash_provision_rub,net_operating_cf_rub,closing_cash_rub
2027-01,0,0.0,0.0,2000000,0.0,0.0,350000.0,0.0,-350000.0,1650000.0
2027-02,0,0.0,0.0,1650000.0,0.0,0.0,350000.0,0.0,-350000.0,1300000.0
2027-03,0,0.0,0.0,1300000.0,0.0,0.0,350000.0,0.0,-350000.0,950000.0
2027-04,0.1,600.0,400.0,950000.0,880000.0,264000.0,350000.0,52800.0,213200.0,1163200.0
2027-05,0.2,1200.0,800.0,1163200.0,1760000.0,528000.0,350000.0,105600.0,776400.0,1939600.0
2027-06,0.25,1500.0,1000.0,1939600.0,2200000.0,660000.0,350000.0,132000.0,1058000.0,2997600.0
2027-07,0.2,1200.0,800.0,2997600.0,1760000.0,528000.0,350000.0,105600.0,776400.0,3774000.0
2027-08,0.15,900.0,600.0,3774000.0,1320000.0,396000.0,350000.0,79200.0,494800.0,4268800.0
2027-09,0.1,600.0,400.0,4268800.0,880000.0,264000.0,350000.0,52800.0,213200.0,4482000.0
2027-10,0,0.0,0.0,4482000.0,0.0,0.0,350000.0,0.0,-350000.0,4132000.0
2027-11,0,0.0,0.0,4132000.0,0.0,0.0,350000.0,0.0,-350000.0,3782000.0
2027-12,0,0.0,0.0,3782000.0,0.0,0.0,350000.0,0.0,-350000.0,3432000.0
